model,code,nr,guess,combinations_left,optimal_guess
o3-mini,2386,7,2386,1,yes
o3-mini,5384,1,1234,720,yes
o3-mini,5384,2,1256,144,no
o3-mini,5384,3,8731,22,yes
o3-mini,5384,4,3468,2,no
o3-mini,5384,5,5384,1,yes
o3-mini,0725,1,1234,1440,yes
o3-mini,0725,2,5106,369,yes
o3-mini,0725,3,1798,73,no
o3-mini,0725,4,2590,2,yes
o3-mini,0725,5,0725,1,yes
o3-mini,8034,1,0123,1260,yes
o3-mini,8034,2,1452,304,yes
o3-mini,8034,3,0145,108,no
o3-mini,8034,4,0178,29,no
o3-mini,8034,5,6091,5,yes
o3-mini,8034,6,4037,1,yes
o3-mini,8034,7,8034,1,yes
o3-mini,4365,1,1234,1260,yes
o3-mini,4365,2,1369,29,no
o3-mini,4365,3,2469,20,yes
o3-mini,4365,4,4630,4,no
o3-mini,4365,5,4367,2,yes
o3-mini,4365,6,4365,1,yes
o3-mini,6147,1,1234,1260,yes
o3-mini,6147,2,2157,62,yes
o3-mini,6147,3,2186,16,yes
o3-mini,6147,4,2361,3,no
o3-mini,6147,5,6147,1,yes
o3-mini,5419,1,1234,1260,yes
o3-mini,5419,2,4015,65,yes
o3-mini,5419,3,6140,19,no
o3-mini,5419,4,4517,4,no
o3-mini,5419,5,5418,1,yes
o3-mini,5419,6,5419,1,yes
o3-mini,5493,1,1234,1260,yes
o3-mini,5493,2,5612,144,yes
o3-mini,5493,3,1987,36,no
o3-mini,5493,4,0372,7,yes
o3-mini,5493,5,3649,1,yes
o3-mini,5493,6,5493,1,yes
o3-mini,8249,1,1234,720,yes
o3-mini,8249,2,1738,144,no
o3-mini,8249,3,1720,48,no
o3-mini,8249,4,1569,7,no
o3-mini,8249,5,3504,2,yes
o3-mini,8249,6,4289,1,yes
o3-mini,8249,7,8249,1,yes
o3-mini,2953,1,0123,720,yes
o3-mini,2953,2,0194,144,no
o3-mini,2953,3,5678,36,no
o3-mini,2953,4,7329,7,yes
o3-mini,2953,5,2743,3,yes
o3-mini,2953,6,2593,1,no
o3-mini,2953,7,2953,1,yes
o3-mini,1307,1,1234,720,yes
o3-mini,1307,2,1256,112,no
o3-mini,1307,3,1697,14,no
o3-mini,1307,4,1297,12,no
o3-mini,1307,5,1374,2,no
o3-mini,1307,6,1387,1,yes
o3-mini,1307,7,1307,1,yes
o3-mini,0346,1,1234,1260,yes
o3-mini,0346,2,5612,304,yes
o3-mini,0346,3,3178,66,yes
o3-mini,0346,4,1420,15,no
o3-mini,0346,5,4053,1,yes
o3-mini,0346,6,0346,1,yes
o1,5483,1,0123,480,yes
o1,5483,2,0456,90,yes
o1,5483,3,0794,20,yes
o1,5483,4,4158,2,yes
o1,5483,5,8425,1,yes
o1,5483,6,5483,1,yes
o1,0268,1,0123,720,yes
o1,0268,2,0456,114,no
o1,0268,3,7890,64,no
o1,0268,4,0741,14,yes
o1,0268,5,0852,3,no
o1,0268,6,0268,1,yes
o1,1057,1,1234,480,yes
o1,1057,2,1567,21,yes
o1,1057,3,1756,9,no
o1,1057,4,1506,2,yes
o1,1057,5,1765,1,no
o1,1057,6,1057,1,yes
o1,7960,1,0123,1440,yes
o1,7960,2,4567,288,no
o1,7960,3,4609,17,yes
o1,7960,4,8640,5,no
o1,7960,5,9047,1,yes
o1,7960,6,7450,1,no
o1,7960,7,6539,1,no
o1,7960,8,2813,1,no
o1,7960,9,7960,1,yes
o1,9872,1,1234,1440,yes
o1,9872,2,0159,378,yes
o1,9872,3,6781,216,yes
o1,9872,4,2670,38,yes
o1,9872,5,7645,9,yes
o1,9872,6,9872,1,yes
o1,3796,1,0123,1440,yes
o1,3796,2,4567,504,no
o1,3796,3,5086,54,yes
o1,3796,4,7049,28,yes
o1,3796,5,5789,11,no
o1,3796,6,5491,2,yes
o1,3796,7,2796,1,yes
o1,3796,8,3796,1,yes
o1,4829,1,0123,480,yes
o1,4829,2,0456,126,yes
o1,4829,3,4178,24,yes
o1,4829,4,7195,5,yes
o1,4829,5,4829,1,yes
o1,9761,1,0123,1440,yes
o1,9761,2,4567,288,no
o1,9761,3,4519,44,no
o1,9761,4,1468,9,yes
o1,9761,5,7268,2,no
o1,9761,6,9761,1,yes
o1,2386,1,1234,1260,yes
o1,2386,2,3102,310,no
o1,2386,3,5316,23,yes
o1,2386,4,7318,6,yes
o1,2386,5,5369,3,no
o1,2386,6,2376,1,yes
o1,2386,7,2386,1,yes
o1,5384,1,1234,720,yes
o1,5384,2,1302,60,no
o1,5384,3,1345,12,no
o1,5384,4,1456,3,yes
o1,5384,5,5389,1,no
o1,5384,6,5384,1,yes
o1,0725,1,1234,1440,yes
o1,0725,2,5678,504,no
o1,0725,3,3597,108,yes
o1,0725,4,0356,17,yes
o1,0725,5,7051,2,yes
o1,0725,6,0725,1,yes
o1,8034,1,0123,1260,yes
o1,8034,2,4205,284,yes
o1,8034,3,6072,60,yes
o1,8034,4,1048,6,yes
o1,8034,5,9014,2,yes
o1,8034,6,3084,1,yes
o1,8034,7,8034,1,yes
o1,4365,1,0123,1440,yes
o1,4365,2,4056,83,yes
o1,4365,3,7506,29,yes
o1,4365,4,6451,3,yes
o1,4365,5,4365,1,yes
o1,6147,1,1234,1260,yes
o1,6147,2,1256,428,no
o1,6147,3,9012,104,yes
o1,6147,4,3157,4,no
o1,6147,5,3168,2,yes
o1,6147,6,3627,1,yes
o1,6147,7,6147,1,yes
o1,5419,1,1234,1260,yes
o1,5419,2,5612,61,yes
o1,5419,3,5317,7,yes
o1,5419,4,5372,3,no
o1,5419,5,5410,2,yes
o1,5419,6,5418,1,yes
o1,5419,7,5419,1,yes
o1,5493,1,0123,480,yes
o1,5493,2,4567,168,no
o1,5493,3,0684,37,yes
o1,5493,4,5926,8,yes
o1,5493,5,9176,3,yes
o1,5493,6,5493,1,yes
o1,8249,1,1234,720,yes
o1,8249,2,1390,180,yes
o1,8249,3,5207,24,no
o1,8249,4,6218,6,yes
o1,8249,5,7469,2,no
o1,8249,6,5678,2,no
o1,8249,7,8264,1,no
o1,8249,8,8249,1,yes
o1,2953,1,1234,1260,yes
o1,2953,2,2143,180,no
o1,2953,3,2150,28,yes
o1,2953,4,2041,4,no
o1,2953,5,2536,3,no
o1,2953,6,2753,2,yes
o1,2953,7,2793,1,no
o1,2953,8,2953,1,yes
o1,1307,1,1234,720,yes
o1,1307,2,2109,100,no
o1,1307,3,3207,5,yes
o1,1307,4,4203,2,no
o1,1307,5,1307,1,yes
o1,0346,1,0123,720,yes
o1,0346,2,4567,168,no
o1,0346,3,0452,35,yes
o1,0346,4,0614,2,yes
o1,0346,5,0346,1,yes
